"Date (UTC)","Timestamp (UTC)","Delcy Rodríguez","Nicolás Maduro","María Corina Machado","Edmundo González"
"01-05-2026 00:00","1767571209","0.315","0.044","0.195","0.235"
"01-06-2026 00:00","1767657611","0.44","0.0495","0.165","0.205"
"01-07-2026 00:00","1767744009","0.445","0.0505","0.135","0.14"
"01-08-2026 00:00","1767830424","0.54","0.061","0.145","0.085"
"01-09-2026 00:00","1767916809","0.565","0.0555","0.14","0.085"
"01-10-2026 00:00","1768003209","0.49","0.0565","0.185","0.105"
"01-11-2026 00:00","1768089610","0.475","0.0565","0.225","0.095"
"01-12-2026 00:00","1768176011","0.485","0.059","0.205","0.11"
"01-13-2026 00:00","1768262411","0.52","0.0585","0.185","0.085"
"01-14-2026 00:00","1768348809","0.525","0.058","0.205","0.085"
"01-15-2026 00:00","1768435211","0.565","0.056","0.18","0.08"
"01-16-2026 00:00","1768521612","0.555","0.0575","0.17","0.065"
"01-17-2026 00:00","1768608011","0.555","0.077","0.17","0.065"
"01-18-2026 00:00","1768694411","0.545","0.085","0.165","0.065"
"01-19-2026 00:00","1768780810","0.545","0.08","0.175","0.065"
"01-20-2026 00:00","1768867210","0.535","0.0855","0.175","0.065"
"01-21-2026 00:00","1768953610","0.54","0.0825","0.165","0.065"
"01-22-2026 00:00","1769040010","0.535","0.107","0.155","0.065"
"01-23-2026 00:00","1769126425","0.535","0.1075","0.155","0.065"
"01-24-2026 00:00","1769212813","0.54","0.109","0.155","0.065"
"01-25-2026 00:00","1769299227","0.535","0.1105","0.145","0.065"
"01-26-2026 00:00","1769385623","0.545","0.1105","0.165","0.065"
"01-27-2026 00:00","1769472022","0.575","0.109","0.165","0.065"
"01-28-2026 00:00","1769558411","0.57","0.106","0.165","0.065"
"01-29-2026 00:00","1769644827","0.57","0.101","0.17","0.065"
"01-30-2026 00:00","1769731213","0.59","0.093","0.165","0.05"
"01-31-2026 00:00","1769817613","0.58","0.137","0.16","0.055"
"02-01-2026 00:00","1769904016","0.61","0.106","0.155","0.055"
"02-02-2026 00:00","1769990413","0.62","0.1145","0.135","0.055"
"02-03-2026 00:00","1770076812","0.655","0.1195","0.135","0.05"
"02-04-2026 00:00","1770163223","0.66","0.0925","0.135","0.05"
"02-05-2026 00:00","1770249612","0.655","0.1145","0.11","0.05"
"02-05-2026 18:05","1770314712","0.685","0.1245","0.11","0.045"
